,Unnamed: 0,id_str,screen_name,full_text,retweeted,emotion
0,0,1409133823321776133,Februar_sup,@tflno_dxz23 다른사람들이 낀거라도 보면서 힐링롤할려구요.. 헤헤&lt;&lt;개같이 우리미드 라인전발릴예정,0,혐오
1,1,1370913895997599745,Rald_Victory,미드소마 말고 롤체할까,0,중립
2,2,1452110825833971717,Zo_U__,@YoYouo77 저가롤알못이라(게다가미드는전혀모름) 아마츠비님이맞지안을가십긴하내요.. . ..,0,공포
3,3,1492708847454404608,fuvely_,"오늘 오후 9시 !
롤 하다가 이터널 리턴 할 거시와요 🥰
어푸푸 오늘 일겜에서 탑 미드 서폿만 할건데 완전 못하지만 덤덤이들 이빨은 안전할 거시와요 😉… (정글 원딜은 진짜 못하겠엉 ㅠㅠ)
이따 보자규~",0,행복
4,4,1338863372150816773,Zoemyhappy,맨날프로게이머롤계정염탐하니까감흥이덜해졌는데 걍킹반인챌린처그만데 모스트 미드인사람들보면 걍 신같음,0,행복
5,5,1269458799271612416,iiiliiiiiliilii,"롤하면 자꾸 이상한 놈들이 서폿은 혜지고 도구고 어쩌고 못해도 어쩌고 이러는데
막상 게임 오래 해보면 깨닫고맘
서폿도 잘해야 서폿하는구나
못하면 원딜이 잘해서 캐리하지 않는 이상 바텀터지고
원딜이 구원불가면 서폿은 그냥 딜러로 가면 됨
탱서폿 - 탱미드가듯
마법서폿 - 마법미드가듯",0,중립
6,6,950372869606850560,Ragnoz_idiot,"@Day_Dream_X 롤 미드시즌 리그 티저에서 오락기위에 더럽게 엉덩이올리고 찍어서 기계 부술뻔하고 욕먹다가, 이름비슷한 msi컴퓨터가 욕먹고있어서 자기네 아니라고 해명하는트윗이네여ㅋㅋ",0,혐오
7,7,852668988433735680,fiwishwo,"옵치만하다 롤하려니까 자꾸 w스킬 낭비해 마우스 우클하고 좌클 헷갈려
그냥 짜증나 미드는뭐고 정글은 뭐야
나보고 어쩌라는거야 시발것들아",0,혐오
8,8,1465312791644966916,pposongtako,"롤 에유에 대해 얘기할 수 있는 것:
미드 차이
탑 차이
정글 차이
하여튼 뭔가 계속 차이가 남
kda",0,중립
9,9,1341656192704114688,imsisisisi,자 우주&amp;암흑우주 스킨롤 미드 구해여!!,0,중립
10,10,1503053488707629056,Fem_Sub_blat,"친구가 롤 얘기를 해줬는데.. 미드 바텀 탑 어쩌구 하는데 진짜 바텀이랑 탑 밖에 안 들리더라.. 이게 맞나

.
#섹트",0,공포
